action,file,pass,total_flows,correct,dominant
Comment,Comment_0.pcap,True,42,15,Comment
Comment,Comment_1.pcap,True,29,9,Comment
Comment,Comment_10.pcap,True,55,22,Comment
Comment,Comment_100.pcap,False,20,2,Like
Comment,Comment_101.pcap,True,52,20,Comment
Comment,Comment_102.pcap,True,20,6,Comment
Comment,Comment_103.pcap,True,36,12,Comment
Comment,Comment_104.pcap,False,24,3,Subscribe
Comment,Comment_105.pcap,True,48,14,Comment
Comment,Comment_106.pcap,True,22,5,Comment
Comment,Comment_107.pcap,True,34,9,Comment
Comment,Comment_108.pcap,True,20,6,Comment
Comment,Comment_109.pcap,True,34,13,Comment
Comment,Comment_11.pcap,True,27,8,Comment
Comment,Comment_110.pcap,True,54,17,Comment
Comment,Comment_111.pcap,True,20,5,Comment
Comment,Comment_112.pcap,True,24,8,Comment
Comment,Comment_113.pcap,True,14,3,Comment
Comment,Comment_114.pcap,True,18,4,Comment
Comment,Comment_115.pcap,True,16,5,Comment
Comment,Comment_116.pcap,False,18,3,Subscribe
Comment,Comment_117.pcap,False,18,1,Like
Comment,Comment_118.pcap,True,10,1,Comment
Comment,Comment_119.pcap,False,10,1,Subscribe
Comment,Comment_12.pcap,True,22,6,Comment
Comment,Comment_120.pcap,True,18,3,Comment
Comment,Comment_121.pcap,False,16,1,Subscribe
Comment,Comment_122.pcap,False,14,2,Subscribe
Comment,Comment_123.pcap,False,14,2,Subscribe
Comment,Comment_124.pcap,False,14,1,Like
Comment,Comment_125.pcap,False,10,1,Subscribe
Comment,Comment_126.pcap,False,8,0,Like
Comment,Comment_127.pcap,False,16,2,Like
Comment,Comment_128.pcap,False,16,1,Subscribe
Comment,Comment_129.pcap,True,16,3,Comment
Comment,Comment_13.pcap,True,69,25,Comment
Comment,Comment_130.pcap,False,10,1,Like
Comment,Comment_131.pcap,False,12,1,Like
Comment,Comment_132.pcap,False,10,1,Like
Comment,Comment_133.pcap,True,18,5,Comment
Comment,Comment_134.pcap,False,10,0,Like
Comment,Comment_135.pcap,True,10,1,Comment
Comment,Comment_136.pcap,True,16,3,Comment
Comment,Comment_137.pcap,False,8,0,Subscribe
Comment,Comment_138.pcap,False,14,2,Search
Comment,Comment_139.pcap,False,14,2,Like
Comment,Comment_14.pcap,True,28,10,Comment
Comment,Comment_140.pcap,True,12,2,Comment
Comment,Comment_141.pcap,False,12,2,Like
Comment,Comment_142.pcap,False,18,2,Like
Comment,Comment_143.pcap,False,14,2,Subscribe
Comment,Comment_144.pcap,False,10,1,Subscribe
Comment,Comment_145.pcap,False,18,1,Like
Comment,Comment_146.pcap,False,14,2,Like
Comment,Comment_147.pcap,False,14,2,Subscribe
Comment,Comment_148.pcap,True,16,4,Comment
Comment,Comment_149.pcap,True,12,2,Comment
Comment,Comment_15.pcap,True,25,6,Comment
Comment,Comment_16.pcap,True,32,11,Comment
Comment,Comment_17.pcap,True,33,6,Comment
Comment,Comment_18.pcap,True,29,8,Comment
Comment,Comment_19.pcap,False,19,3,Subscribe
Comment,Comment_2.pcap,True,59,19,Comment
Comment,Comment_20.pcap,True,25,6,Comment
Comment,Comment_21.pcap,False,24,5,Like
Comment,Comment_22.pcap,True,23,8,Comment
Comment,Comment_23.pcap,True,38,9,Comment
Comment,Comment_24.pcap,True,31,7,Comment
Comment,Comment_25.pcap,True,31,7,Comment
Comment,Comment_26.pcap,True,33,9,Comment
Comment,Comment_27.pcap,True,25,6,Comment
Comment,Comment_28.pcap,True,23,7,Comment
Comment,Comment_29.pcap,True,29,5,Comment
Comment,Comment_3.pcap,False,26,4,Like
Comment,Comment_30.pcap,False,24,3,Subscribe
Comment,Comment_31.pcap,True,21,7,Comment
Comment,Comment_32.pcap,True,45,14,Comment
Comment,Comment_33.pcap,True,19,5,Comment
Comment,Comment_34.pcap,True,30,11,Comment
Comment,Comment_35.pcap,True,35,8,Comment
Comment,Comment_36.pcap,True,30,6,Comment
Comment,Comment_37.pcap,False,26,2,Subscribe
Comment,Comment_38.pcap,True,20,5,Comment
Comment,Comment_39.pcap,True,27,5,Comment
Comment,Comment_4.pcap,True,17,5,Comment
Comment,Comment_40.pcap,True,29,6,Comment
Comment,Comment_41.pcap,False,28,3,Like
Comment,Comment_42.pcap,False,26,4,Like
Comment,Comment_43.pcap,True,29,7,Comment
Comment,Comment_44.pcap,True,31,7,Comment
Comment,Comment_45.pcap,True,22,7,Comment
Comment,Comment_46.pcap,True,32,8,Comment
Comment,Comment_47.pcap,True,27,7,Comment
Comment,Comment_48.pcap,True,38,13,Comment
Comment,Comment_49.pcap,True,29,9,Comment
Comment,Comment_5.pcap,True,48,15,Comment
Comment,Comment_50.pcap,True,22,5,Comment
Comment,Comment_51.pcap,True,48,16,Comment
Comment,Comment_52.pcap,True,22,5,Comment
Comment,Comment_53.pcap,True,36,15,Comment
Comment,Comment_54.pcap,True,35,9,Comment
Comment,Comment_55.pcap,True,37,11,Comment
Comment,Comment_56.pcap,True,48,19,Comment
Comment,Comment_57.pcap,True,20,6,Comment
Comment,Comment_58.pcap,True,32,9,Comment
Comment,Comment_59.pcap,True,16,5,Comment
Comment,Comment_6.pcap,True,29,6,Comment
Comment,Comment_60.pcap,True,36,13,Comment
Comment,Comment_61.pcap,True,56,15,Comment
Comment,Comment_62.pcap,False,20,4,Subscribe
Comment,Comment_63.pcap,True,20,4,Comment
Comment,Comment_64.pcap,True,18,5,Comment
Comment,Comment_65.pcap,True,14,4,Comment
Comment,Comment_66.pcap,False,16,2,Like
Comment,Comment_67.pcap,True,14,3,Comment
Comment,Comment_68.pcap,True,14,5,Comment
Comment,Comment_69.pcap,False,14,1,Subscribe
Comment,Comment_7.pcap,True,34,14,Comment
Comment,Comment_70.pcap,False,12,1,Like
Comment,Comment_71.pcap,True,22,5,Comment
Comment,Comment_72.pcap,False,14,2,Like
Comment,Comment_73.pcap,False,12,2,Subscribe
Comment,Comment_74.pcap,False,18,2,Like
Comment,Comment_75.pcap,False,12,1,Subscribe
Comment,Comment_76.pcap,False,16,1,Subscribe
Comment,Comment_77.pcap,False,12,1,Subscribe
